,team1,team1_roster,team2,team2_roster,bo,match_score,map1,map1_score,map2,map2_score,map3,map3_score,map4,map4_score,map5,map5_score,winner,hltv_id
0,Vitality,"apEX, mezii, ropz, ZywOo, flameZ",The MongolZ,"Senzu, Techno, 910, bLitz, mzinho",3,2-1,Mirage,5-13,Dust2,13-4,Inferno,13-6,Not played,No score,Not played,No score,Vitality,2382619
1,Vitality,"ZywOo, ropz, flameZ, mezii, apEX",MOUZ,"xertioN, Spinx, Jimpphat, Brollan, torzsi",3,2-1,Mirage,13-8,Inferno,4-13,Train,13-6,Not played,No score,Not played,No score,Vitality,2382618
2,Vitality,"ZywOo, mezii, ropz, flameZ, apEX",Natus Vincere,"w0nderful, b1t, jL, iM, Aleksib",3,2-0,Mirage,13-9,Nuke,13-11,Not played,No score,Not played,No score,Not played,No score,Vitality,2382616
3,Vitality,"ZywOo, ropz, mezii, apEX, flameZ",Virtus.pro,"FL1T, ICY, electroNic, FL4MUS, fame",3,2-0,Train,13-6,Dust2,13-6,Not played,No score,Not played,No score,Not played,No score,Vitality,2382608
4,Vitality,"ropz, ZywOo, flameZ, mezii, apEX",3DMAX,"bodyy, Ex3rcice, Maka, Graviti, Lucky",1,1-0,Nuke,13-2,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2382596
5,Vitality,"ZywOo, flameZ, apEX, ropz, mezii",Nemiga,"khaN, Xant3r, riskyb0b, 1eeR, zweih",1,1-0,Dust2,13-6,Not played,No score,Not played,No score,Not played,No score,Not played,No score,Vitality,2382593
6,Vitality,"ZywOo, ropz, mezii, flameZ, apEX",MOUZ,"Spinx, xertioN, torzsi, Jimpphat, Brollan",5,3-0,Dust2,13-11,Mirage,13-9,Inferno,13-8,Not played,No score,Not played,No score,Vitality,2382695
7,Vitality,"ZywOo, mezii, flameZ, apEX, ropz",Falcons,"NiKo, m0NESY, Magisk, TeSeS, kyxsan",3,2-1,Dust2,13-7,Train,6-13,Inferno,13-11,Not played,No score,Not played,No score,Vitality,2382694
8,Vitality,"ZywOo, flameZ, ropz, mezii, apEX",The MongolZ,"bLitz, mzinho, 910, Senzu, Techno",3,2-1,Inferno,13-10,Nuke,7-13,Mirage,13-11,Not played,No score,Not played,No score,Vitality,2382681
9,Vitality,"ropz, apEX, mezii, ZywOo, flameZ",GamerLegion,"REZ, ztr, PR, Tauson, acoR",3,2-0,Mirage,13-9,Nuke,13-10,Not played,No score,Not played,No score,Not played,No score,Vitality,2382675
10,Vitality,"apEX, flameZ, ropz, ZywOo, mezii",Legacy,"saadzin, latto, lux, dumau, n1ssim",3,2-0,Inferno,13-5,Dust2,13-11,Not played,No score,Not played,No score,Not played,No score,Vitality,2382375
11,Vitality,"ZywOo, ropz, mezii, flameZ, apEX",Falcons,"m0NESY, Magisk, TeSeS, kyxsan, NiKo",5,3-2,Inferno,9-13,Dust2,13-6,Train,13-6,Mirage,14-16,Nuke,13-8,Vitality,2381918
12,Vitality,"ZywOo, ropz, flameZ, mezii, apEX",Spirit,"donk, sh1ro, zont1x, magixx, chopper",3,2-0,Mirage,13-8,Nuke,13-9,Not played,No score,Not played,No score,Not played,No score,Vitality,2381917
13,Vitality,"ZywOo, ropz, apEX, flameZ, mezii",MOUZ,"Spinx, xertioN, torzsi, Brollan, Jimpphat",3,2-1,Mirage,9-13,Inferno,13-9,Train,13-8,Not played,No score,Not played,No score,Vitality,2381911
14,Vitality,"mezii, apEX, ZywOo, ropz, flameZ",Wildcard,"JBa, susp, Sonic, phzy, stanislaw",3,2-0,Inferno,13-7,Dust2,13-6,Not played,No score,Not played,No score,Not played,No score,Vitality,2381906
15,Vitality,"ZywOo, ropz, mezii, apEX, flameZ",Falcons,"TeSeS, m0NESY, NiKo, kyxsan, Magisk",5,3-2,Inferno,13-2,Dust2,12-16,Train,13-9,Mirage,10-13,Nuke,22-20,Vitality,2381773
16,Vitality,"ZywOo, ropz, mezii, flameZ, apEX",The MongolZ,"Techno, bLitz, 910, Senzu, mzinho",3,2-0,Mirage,13-3,Nuke,13-3,Not played,No score,Not played,No score,Not played,No score,Vitality,2381772
17,Vitality,"ZywOo, flameZ, ropz, mezii, apEX",Falcons,"NiKo, m0NESY, TeSeS, kyxsan, Magisk",3,2-0,Mirage,16-13,Inferno,13-8,Not played,No score,Not played,No score,Not played,No score,Vitality,2381768
18,Vitality,"flameZ, ropz, ZywOo, mezii, apEX",Liquid,"Twistzz, ultimate, NertZ, siuhy, NAF",3,2-0,Mirage,13-5,Nuke,13-8,Not played,No score,Not played,No score,Not played,No score,Vitality,2381759
19,Vitality,"ropz, ZywOo, flameZ, mezii, apEX",FlyQuest,"regali, Vexite, nettik, Liazz, INS",3,2-0,Anubis,13-2,Nuke,13-8,Not played,No score,Not played,No score,Not played,No score,Vitality,2381641
20,Vitality,"ZywOo, ropz, apEX, flameZ, mezii",MOUZ,"Spinx, Jimpphat, torzsi, xertioN, Brollan",5,3-2,Inferno,13-0,Mirage,11-13,Dust2,11-13,Nuke,13-7,Train,13-7,Vitality,2380134
21,Vitality,"ZywOo, flameZ, ropz, apEX, mezii",Spirit,"donk, sh1ro, magixx, zont1x, chopper",3,2-1,Anubis,13-6,Nuke,5-13,Mirage,13-10,Not played,No score,Not played,No score,Vitality,2380132
22,Vitality,"ZywOo, ropz, flameZ, mezii, apEX",MOUZ,"Jimpphat, torzsi, xertioN, Spinx, Brollan",3,2-0,Mirage,13-11,Dust2,13-11,Not played,No score,Not played,No score,Not played,No score,Vitality,2380126
23,Vitality,"ZywOo, flameZ, mezii, ropz, apEX",Virtus.pro,"FL1T, ICY, FL4MUS, electroNic, fame",3,2-0,Anubis,13-6,Inferno,13-5,Not played,No score,Not played,No score,Not played,No score,Vitality,2380115
24,Vitality,"mezii, ZywOo, ropz, flameZ, apEX",Astralis,"device, Staehr, stavn, jabbi, cadiaN",3,2-0,Inferno,13-4,Dust2,13-6,Not played,No score,Not played,No score,Not played,No score,Vitality,2380002
25,Vitality,"mezii, ZywOo, flameZ, ropz, apEX",MOUZ,"Spinx, torzsi, xertioN, Jimpphat, Brollan",5,3-0,Dust2,13-9,Nuke,13-4,Inferno,13-5,Not played,No score,Not played,No score,Vitality,2380078
26,Vitality,"flameZ, ZywOo, ropz, apEX, mezii",The MongolZ,"Techno, 910, mzinho, bLitz, Senzu",3,2-1,Anubis,13-4,Nuke,14-16,Inferno,13-2,Not played,No score,Not played,No score,Vitality,2380076
27,Vitality,"ropz, ZywOo, mezii, flameZ, apEX",Liquid,"jks, ultimate, Twistzz, NertZ, NAF",3,2-0,Anubis,13-9,Dust2,13-9,Not played,No score,Not played,No score,Not played,No score,Vitality,2380072
28,Vitality,"ZywOo, apEX, ropz, flameZ, mezii",MOUZ,"xertioN, torzsi, Spinx, Jimpphat, Brollan",3,2-0,Inferno,13-6,Dust2,13-7,Not played,No score,Not played,No score,Not played,No score,Vitality,2380059
29,Vitality,"ZywOo, flameZ, ropz, apEX, mezii",3DMAX,"Maka, bodyy, Ex3rcice, Graviti, Lucky",3,2-0,Train,13-5,Dust2,13-7,Not played,No score,Not played,No score,Not played,No score,Vitality,2380051
30,Vitality,"ropz, ZywOo, flameZ, apEX, mezii",MIBR,"insani, saffee, Lucaozy, exit, brnz4n",3,2-1,Anubis,7-13,Inferno,13-3,Train,13-8,Not played,No score,Not played,No score,Vitality,2380040
31,Vitality,"ZywOo, ropz, apEX, flameZ, mezii",Spirit,"zont1x, donk, magixx, sh1ro, chopper",5,3-0,Dust2,13-6,Nuke,13-5,Mirage,13-11,Not played,No score,Not played,No score,Vitality,2378917
32,Vitality,"ZywOo, ropz, flameZ, apEX, mezii",The MongolZ,"bLitz, 910, Techno, Senzu, mzinho",3,2-0,Mirage,13-7,Nuke,13-9,Not played,No score,Not played,No score,Not played,No score,Vitality,2378915
33,Vitality,"ZywOo, flameZ, ropz, apEX, mezii",Virtus.pro,"FL1T, electroNic, ICY, FL4MUS, fame",3,2-0,Anubis,13-8,Inferno,13-5,Not played,No score,Not played,No score,Not played,No score,Vitality,2378910
34,Vitality,"flameZ, ZywOo, mezii, ropz, apEX",FaZe,"frozen, EliGE, karrigan, broky, rain",3,2-1,Nuke,13-3,Anubis,10-13,Dust2,19-16,Not played,No score,Not played,No score,Vitality,2378899
35,Vitality,"ZywOo, mezii, flameZ, ropz, apEX",3DMAX,"Lucky, Ex3rcice, Graviti, Maka, Djoko",3,2-0,Inferno,19-16,Nuke,13-9,Not played,No score,Not played,No score,Not played,No score,Vitality,2378782
