,team1,team1_roster,team2,team2_roster,bo,match_score,map1,map1_score,map2,map2_score,map3,map3_score,map4,map4_score,map5,map5_score,winner,hltv_id
0,77,83,75,1,3,7,4,40,2,12,3,14,5,45,5,45,77,2382619
1,77,83,47,19,3,7,4,16,3,39,8,14,5,45,5,45,77,2382618
2,77,83,52,8,3,6,4,17,6,8,5,45,5,45,5,45,77,2382616
3,77,83,76,146,3,6,8,14,2,14,5,45,5,45,5,45,77,2382608
4,77,83,1,102,1,3,6,10,5,45,5,45,5,45,5,45,77,2382596
5,77,83,53,0,1,3,2,14,5,45,5,45,5,45,5,45,77,2382593
6,77,83,47,19,5,9,2,8,4,17,3,16,5,45,5,45,77,2382695
7,77,83,31,168,3,7,2,15,8,41,3,8,5,45,5,45,77,2382694
8,77,83,75,1,3,7,3,7,6,42,4,8,5,45,5,45,77,2382681
9,77,83,35,67,3,6,4,17,6,7,5,45,5,45,5,45,77,2382675
10,77,83,42,141,3,6,3,13,2,8,5,45,5,45,5,45,77,2382375
11,77,83,31,168,5,11,3,44,2,14,8,14,4,18,6,16,77,2381918
12,77,83,71,123,3,6,4,16,6,17,5,45,5,45,5,45,77,2381917
13,77,83,47,19,3,7,4,44,3,17,8,16,5,45,5,45,77,2381911
14,77,83,78,53,3,6,3,15,2,14,5,45,5,45,5,45,77,2381906
15,77,83,31,168,5,11,3,10,2,4,8,17,4,2,6,32,77,2381773
16,77,83,75,1,3,6,4,11,6,11,5,45,5,45,5,45,77,2381772
17,77,83,31,168,3,6,4,20,3,16,5,45,5,45,5,45,77,2381768
18,77,83,43,61,3,6,4,13,6,16,5,45,5,45,5,45,77,2381759
19,77,83,32,52,3,6,1,10,6,16,5,45,5,45,5,45,77,2381641
20,77,83,47,19,5,11,3,5,4,3,2,3,6,15,8,15,77,2380134
21,77,83,71,123,3,7,1,14,6,40,4,7,5,45,5,45,77,2380132
22,77,83,47,19,3,6,4,8,2,8,5,45,5,45,5,45,77,2380126
23,77,83,76,146,3,6,1,14,3,13,5,45,5,45,5,45,77,2380115
24,77,83,8,116,3,6,3,12,2,14,5,45,5,45,5,45,77,2380002
25,77,83,47,19,5,9,2,17,6,12,3,13,5,45,5,45,77,2380078
26,77,83,75,1,3,7,1,12,6,18,3,10,5,45,5,45,77,2380076
